txId,class
230425980,2
5530458,2
232022460,2
232438397,1
230460314,2
230459870,2
230333930,2
230595899,2
232013274,2
232029206,1
232344069,1
27553029,1
36411953,2
230405052,2
34194980,2
5529846,2
3881097,1
232457116,1
230409257,2
32877982,2
230351738,2
195218118,2
88008478,2
232012569,2
232412408,2
232412405,1
232038018,2
232470342,1
2925426,2
230550393,1
232051089,1
232470704,1
233591710,2
234439913,2
232945017,2
94251207,2
6595740,2
79840192,2
212704383,2
212366182,2
69254632,2
230595355,2
166890641,2
82304496,2
232033533,1
230470022,2
230598493,2
43560505,2
14878322,2
230415750,2
232073372,2
75604335,2
230473487,1
7089694,1
231179595,1
3307463,2
230658679,2
232074274,2
5234549,2
231177927,1
232431877,2
2758467,1
81273879,2
232437171,1
3878856,2
3878886,1
231182296,1
14660781,1
13334987,2
5530452,2
230519287,2
194810163,2
230423321,2
232399276,2
230659456,2
230658142,2
230347386,2
37233982,2
230427468,2
43358239,1
230528714,1
75605182,2
75604052,2
230585122,1
231208959,2
230455950,2
2881274,1
232658952,2
232658962,2
230530291,2
2881273,1
75604616,2
37232637,2
230531551,2
4619363,2
230516010,2
230516478,1
232441583,2
232441589,2
5488136,1
27553759,1
5529367,2
232467632,1
230658273,2
230658517,2
231181128,1
232453404,1
232353601,2
230447764,1
230423018,1
232392936,1
234419729,2
152498092,1
230531146,2
230545782,2
230415003,2
230414561,2
230453429,2
230459154,2
230425284,2
83431059,2
230530225,2
230095969,2
230440353,2
230440535,2
230440534,2
232022496,2
232022773,2
230348238,2
3409584,2
89273,1
3906238,1
230973596,1
232455956,1
38062994,1
80044108,2
230423318,1
146601928,2
232368272,2
232453639,1
232453630,1
51860219,1
230521273,2
230522097,1
230658997,2
1913117,1
232909272,1
231179660,2
231177063,1
206222134,1
192431356,1
230967090,2
230439439,2
230658277,2
230563355,2
230455752,2
232416085,2
232038004,2
232037822,2
230471902,2
230471916,2
232393313,2
230511916,2
200165930,1
39617084,2
230432611,1
230966618,1
230512979,1
230530178,2
232070456,2
232436036,2
230674241,1
230330969,2
232918438,2
230335026,2
232698839,2
230918484,1
40297647,1
230459131,2
230559672,2
230447404,1
3877919,1
54492406,2
4855592,2
231995264,1
232468876,1
231994250,2
232910950,2
3907739,2
230438749,2
232687445,2
189305695,1
2819887,2
232956426,2
230530380,2
230474094,2
230473989,2
75604389,2
75604980,2
232440027,1
