epoch,train_loss,train_acc,train_precision_pos,train_precision_neg,train_recall_pos,train_recall_neg,train_F1_pos,train_F1_neg,train_AUC,val_loss,val_acc,val_precision_pos,val_precision_neg,val_recall_pos,val_recall_neg,val_F1_pos,val_F1_neg,val_AUC,test_loss,test_acc,test_precision_pos,test_precision_neg,test_recall_pos,test_recall_neg,test_F1_pos,test_F1_neg,test_AUC
1,0.4441036040685615,81.04798126220703,0.2529527544975281,0.8378417491912842,0.07111234217882156,0.9580755829811096,0.11101512610912323,0.8939339518547058,0.6980565586621087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.3534783301304798,83.41928100585938,0.503894567489624,0.8616888523101807,0.23270614445209503,0.954264223575592,0.3183797299861908,0.9056168794631958,0.7794168587764819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.3236050748703431,84.36319732666016,0.5573683977127075,0.8710768222808838,0.2930271029472351,0.9535461664199829,0.3841131329536438,0.9104477763175964,0.8304269132707024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.28216359566669075,86.7713394165039,0.6836886405944824,0.8865540027618408,0.3815716803073883,0.9647591710090637,0.48978865146636963,0.9240047931671143,0.8802971474412977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.2646726975027396,88.461181640625,0.7367521524429321,0.9024667143821716,0.4770337641239166,0.9659743905067444,0.5791065096855164,0.9331412315368652,0.8941647805179493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.25279380411517866,90.00828552246094,0.7623546719551086,0.9200674891471863,0.5805202126502991,0.963875412940979,0.6591265797615051,0.9414621591567993,0.9065745941606278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.23802585930240397,90.81407165527344,0.7833391427993774,0.9270452260971069,0.619258463382721,0.9658086895942688,0.6917014122009277,0.9460299611091614,0.9138834764813324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.23111658041574518,90.94760131835938,0.7926136255264282,0.9268860220909119,0.6175982356071472,0.9677419066429138,0.6942457556724548,0.9468734264373779,0.9174803924493568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.2213194537527707,91.43567657470703,0.7997266054153442,0.9322052001953125,0.6474820375442505,0.967631459236145,0.7155963778495789,0.9495880007743835,0.9251014430306259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.22148245770712288,91.8178482055664,0.7946743369102478,0.9388742446899414,0.6853901743888855,0.9646487236022949,0.7359976172447205,0.9515869617462158,0.9276440374265051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
