epoch,train_loss,train_acc,train_precision_pos,train_precision_neg,train_recall_pos,train_recall_neg,train_F1_pos,train_F1_neg,train_AUC,val_loss,val_acc,val_precision_pos,val_precision_neg,val_recall_pos,val_recall_neg,val_F1_pos,val_F1_neg,val_AUC,test_loss,test_acc,test_precision_pos,test_precision_neg,test_recall_pos,test_recall_neg,test_F1_pos,test_F1_neg,test_AUC
1,0.3620133597631844,84.35398864746094,0.5406932830810547,0.8857008218765259,0.39706695079803467,0.9326668381690979,0.45788127183914185,0.9085773229598999,0.7981410929925628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.26948257459669694,88.13426971435547,0.7166736125946045,0.9017335176467896,0.4745434522628784,0.9625496864318848,0.5710005164146423,0.9311496615409851,0.8922419145142094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.26858795707931327,88.99530029296875,0.7771739363670349,0.9027165770530701,0.4748201370239258,0.9728236794471741,0.58948814868927,0.9364598393440247,0.8934936367164469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.2241444677418592,91.38502502441406,0.8322531580924988,0.925058901309967,0.6040398478507996,0.9756959676742554,0.7000160813331604,0.9497029185295105,0.9307679591396057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.196864942506868,93.15314483642578,0.8843512535095215,0.9384201169013977,0.6770890951156616,0.9823243618011475,0.7669643759727478,0.959870457649231,0.9479344699908858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.19087193282891293,93.51689910888672,0.8897526264190674,0.9419737458229065,0.6967349052429199,0.9827662110328674,0.7815021276473999,0.961937665939331,0.9543879215605049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.19021469658734846,93.71949768066406,0.9070188403129578,0.9415954351425171,0.6936911940574646,0.9858042597770691,0.7861398458480835,0.963192880153656,0.9540516504162997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.18246784365298796,94.0694351196289,0.8929054141044617,0.9482353925704956,0.7313226461410522,0.982490062713623,0.8040767312049866,0.9650588631629944,0.9567375171211477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.17267924227884837,94.07864379882812,0.9089950919151306,0.945580780506134,0.7158273458480835,0.9856937527656555,0.8009288311004639,0.9652206897735596,0.960324842372949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.16234395257672485,94.52067565917969,0.9288747310638428,0.9476497769355774,0.7263420224189758,0.9888975024223328,0.8152174353599548,0.9678343534469604,0.9635732294208144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.1547744306070464,94.92586517333984,0.9413211345672607,0.9504557251930237,0.7412838935852051,0.9907755255699158,0.8294118046760559,0.9701969027519226,0.9675403852450859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.150222404726914,95.0824203491211,0.9414008259773254,0.9522671699523926,0.7512451410293579,0.9906650185585022,0.8356417417526245,0.9710867404937744,0.967998668640464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.14321130438118565,95.07781219482422,0.9482212066650391,0.9511626958847046,0.7448810338973999,0.9918802380561829,0.8343406319618225,0.9710947871208191,0.970299103183207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.13931503724686953,95.1054458618164,0.9442703127861023,0.9520878791809082,0.7501383423805237,0.9911621809005737,0.8360832929611206,0.9712321758270264,0.971360845142167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.1362204084895095,95.32185363769531,0.9445585012435913,0.9545648097991943,0.7636967301368713,0.9910516738891602,0.8445531725883484,0.9724661111831665,0.9732366134693455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.13285210196460998,95.50142669677734,0.9513865113258362,0.9555780291557312,0.7689540386199951,0.992156445980072,0.8504973649978638,0.9735237956047058,0.974334486827751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.12848692098442388,95.70402526855469,0.9551782608032227,0.9573323130607605,0.7783619165420532,0.9927088022232056,0.8577526807785034,0.9746996760368347,0.975515948436397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.12855299045236743,95.67179107666016,0.9504716992378235,0.9577066898345947,0.7805755138397217,0.9918802380561829,0.8571862578392029,0.9744939804077148,0.9766616836718598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.12643880602352472,95.65337371826172,0.9547002911567688,0.9568203687667847,0.7755948901176453,0.9926535487174988,0.8558778762817383,0.9744076728820801,0.975710636154729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.12397191262975031,95.8283462524414,0.9456879496574402,0.960331916809082,0.7949640154838562,0.9908859729766846,0.8638003468513489,0.9753697514533997,0.9779871435799455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.12283985293945487,95.78690338134766,0.9475953578948975,0.9595252275466919,0.7905368208885193,0.9912726283073425,0.8619701266288757,0.9751406311988831,0.9779097224277074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.11806517991484428,95.96187591552734,0.9541984796524048,0.9604918360710144,0.7955174446105957,0.9923774003982544,0.8676626086235046,0.9761743545532227,0.9798350873670689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.11841489161763873,96.01252746582031,0.947265625,0.962243914604187,0.8052020072937012,0.9910516738891602,0.8704756498336792,0.9764353632926941,0.9794500373052114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.11500403999674078,95.9434585571289,0.9403802752494812,0.9626107811927795,0.8074156045913696,0.9897812604904175,0.8688402771949768,0.9760069251060486,0.9806897233496388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.11710760369896889,96.01712799072266,0.943816602230072,0.9628913402557373,0.8087990880012512,0.9903888702392578,0.8711071014404297,0.9764465689659119,0.979392920960149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.11432383984935526,96.07238006591797,0.9466192126274109,0.9630643725395203,0.8096292018890381,0.9908859729766846,0.8727814555168152,0.9767770767211914,0.9805729076618375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.11012360020255556,96.2059097290039,0.9454023241996765,0.964866042137146,0.8193137645721436,0.9905545711517334,0.877853512763977,0.9775415658950806,0.9815921982832512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.11215012444525349,96.04936218261719,0.9482758641242981,0.9625080227851868,0.8065854907035828,0.9912174344062805,0.8717105388641357,0.9766517877578735,0.9809844143448625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.111203989356148,96.06777954101562,0.9411764740943909,0.9639590978622437,0.8146098256111145,0.9898365139961243,0.8733313679695129,0.9767264127731323,0.9805960170848331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.1083802839322966,96.16447448730469,0.9410085678100586,0.965149462223053,0.8209739923477173,0.9897260069847107,0.8769025802612305,0.977283239364624,0.9820487698695186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.10588332212397031,96.35785675048828,0.9459715485572815,0.9665822386741638,0.8284449577331543,0.9905545711517334,0.883316159248352,0.9784215688705444,0.982871347641286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
